X, Y, frameno, Q
45.315529,51.810307,3,0.02745
29.232138,69.178358,3,0.019618
56.29287,22.375785,3,0.011128
16.977293,114.135406,3,0.020848
57.555141,14.26397,3,0.024794
39.547302,27.285163,3,0.023995
48.757929,49.026123,3,0.042117
40.93941,53.900763,3,0.019465
60.030483,66.36923,3,0.016579
34.658852,59.522864,3,0.026864
13.114762,26.701199,4,0.017969
12.756767,127.626569,4,0.00874
23.628187,25.358248,4,0.017922
13.391628,119.582547,4,0.025895
45.599582,51.641801,4,0.051809
29.225386,69.277327,4,0.014375
52.827145,55.730112,4,0.033281
46.595014,21.808959,4,0.01545
110.893835,35.479056,4,0.033563
56.274778,22.298819,4,0.019826
16.981106,114.27739,4,0.01715
57.613665,14.084878,4,0.021601
69.344116,37.734048,4,0.028174
39.865044,27.063205,4,0.014115
48.761134,48.914371,4,0.01797
34.824613,4.856864,4,0.051696
40.963509,53.771029,4,0.017527
1.666235,97.488527,4,0.015604
59.882741,66.37906,4,0.013594
34.729814,59.442107,4,0.019026
56.255975,22.221401,5,0.021496
17.073088,114.221939,5,0.012321
57.66071,14.307343,5,0.016843
69.466115,37.764661,5,0.0321
78.905404,58.577477,5,0.017015
23.75179,109.540811,5,0.038015
83.541395,91.378009,5,0.050021
39.889073,26.96922,5,0.015706
48.957275,48.799345,5,0.016466
38.226223,6.859507,5,0.058991
96.878253,7.738005,5,0.036947
0.557756,49.724513,5,0.015841
40.842368,53.856439,5,0.017879
1.59544,97.33596,5,0.02136
59.944551,66.39257,5,0.018106
34.85527,59.61404,5,0.026244
7.353188,72.2446,5,0.031155
40.048253,27.175107,6,0.018134
48.913755,48.876512,6,0.018099
37.986591,6.668841,6,0.041319
96.934341,7.550854,6,0.017074
0.683483,49.833502,6,0.009336
56.706006,49.772629,6,0.019322
12.507061,28.408779,6,0.014957
40.767996,53.792654,6,0.027822
1.627864,97.374025,6,0.034817
13.994829,76.18156,6,0.02927
59.978735,66.397657,6,0.02041
34.73538,59.661377,6,0.028317
7.466375,72.036944,6,0.025763
40.879399,53.743058,7,0.013691
1.744539,97.411513,7,0.029472
13.989642,76.335139,7,0.022631
29.127802,12.510838,7,0.024164
50.336565,42.957561,7,0.015148
29.30746,37.928147,7,0.063601
59.987841,66.395213,7,0.019466
51.855901,61.020952,7,0.028129
31.675474,60.865876,7,0.02027
7.474812,72.034576,7,0.015921
26.109611,70.586649,7,0.030595
28.741549,37.078398,8,0.056124
23.730385,65.240586,8,0.018153
24.739685,24.330157,8,0.064129
86.044436,10.158149,8,0.03706
60.047845,66.429752,8,0.023328
51.718039,60.92494,8,0.023614
31.595379,60.882683,8,0.025263
7.599368,72.102582,8,0.018581
12.505944,28.419481,8,0.016273
25.843036,70.470247,8,0.019713
59.98051,66.409999,9,0.0261
51.79921,60.94771,9,0.01398
32.978074,69.430353,9,0.03111
38.220125,80.850942,9,0.035111
14.662762,75.1493,9,0.018106
34.84619,59.580577,9,0.018212
7.533412,72.1297,9,0.015157
12.482045,28.305924,9,0.023141
25.790215,70.683564,9,0.009457
15.44946,74.952906,10,0.02643
69.271848,37.905548,10,0.024453
34.952046,59.576511,10,0.019985
7.480813,72.152695,10,0.020564
12.421102,28.387908,10,0.023997
53.969006,27.841339,10,0.015366
119.320927,28.084084,10,0.032433
42.298105,63.155115,10,0.017506
